x, y, group 
9.45, 14.14, H 
9.1, 14.14, H 
9.9, 9.9, H 
9.6, 14.5, H 
9.1, 9.7, H 
14.7, 9.5, H 
7.9, 9.6, H 
14.7, 9.7, H 
9.45, 14.14, H 
12.1, 9.14, H 
7.5, 9, H 
14.5, 14.5, H 
9.45, 9.7, H 
14.45, 9.6, H 
9.5, 7.6, H 
9, 9.45, H 
14.7, 12, H 
9.7, 9.7, H 
9.6, 9, H 
12, 9, H 
9.45, 14.5, H 
9.9, 14.6, H 
12.7, 9.9, H 
9, 12.14, H 
9, 14.9, H 
9.5, 9.7, H 
9.7, 14.7, H 
9.9, 14.5, H 
14, 14.5, H 
7.9, 9, H 
9.9, 9.45, H 
9, 14.14, H 
14.7, 9.7, H 
14.5, 9.9, H 
